reserve_visit_date,store_id,sum_reserve_visitors,air_store_id,visit_date,visitors
2016-12-16,air_b23d0f519291247d,155,air_b23d0f519291247d,2016-12-16,117
2016-11-21,air_b23d0f519291247d,153,air_b23d0f519291247d,2016-11-21,189
2016-11-19,air_b23d0f519291247d,148,air_b23d0f519291247d,2016-11-19,176
2017-03-16,air_a17f0778617c76e2,142,air_a17f0778617c76e2,2017-03-16,17
2016-12-30,air_df554c4527a1cfe6,122,air_df554c4527a1cfe6,2016-12-30,205
2016-12-17,air_56cebcbd6906e04c,116,air_56cebcbd6906e04c,2016-12-17,117
2016-12-17,air_b23d0f519291247d,110,air_b23d0f519291247d,2016-12-17,113
2016-12-18,air_7514d90009613cd6,109,air_7514d90009613cd6,2016-12-18,239
2016-12-28,air_32b02ba5dc2027f4,108,air_32b02ba5dc2027f4,2016-12-28,162
2016-12-17,air_7514d90009613cd6,107,air_7514d90009613cd6,2016-12-17,170
2017-02-23,air_b439391e72899756,104,air_b439391e72899756,2017-02-23,11
2017-03-19,air_56cebcbd6906e04c,104,air_56cebcbd6906e04c,2017-03-19,67
2016-12-17,air_b439391e72899756,100,air_b439391e72899756,2016-12-17,120
2016-12-22,air_a083834e7ffe187e,99,air_a083834e7ffe187e,2016-12-22,66
2016-11-27,air_7514d90009613cd6,98,air_7514d90009613cd6,2016-11-27,149
2017-01-02,air_8e492076a1179383,97,air_8e492076a1179383,2017-01-02,199
2016-12-10,air_4092cfbd95a3ac1b,96,air_4092cfbd95a3ac1b,2016-12-10,96
2016-12-17,air_df554c4527a1cfe6,95,air_df554c4527a1cfe6,2016-12-17,144
2016-11-19,air_4092cfbd95a3ac1b,95,air_4092cfbd95a3ac1b,2016-11-19,98
2016-11-20,air_7514d90009613cd6,94,air_7514d90009613cd6,2016-11-20,83
2017-03-25,air_db80363d35f10926,93,air_db80363d35f10926,2017-03-25,43
2017-03-31,air_a38f25e3399d1b25,93,air_a38f25e3399d1b25,2017-03-31,104
2016-12-22,air_707d4b6328f2c2df,92,air_707d4b6328f2c2df,2016-12-22,93
2016-03-05,air_622375b4815cf5cb,92,air_622375b4815cf5cb,2016-03-05,91
2017-04-22,air_b4f32bcc399da2b9,91,air_b4f32bcc399da2b9,2017-04-22,48
2016-03-18,air_03963426c9312048,91,air_03963426c9312048,2016-03-18,115
2016-12-29,air_df554c4527a1cfe6,90,air_df554c4527a1cfe6,2016-12-29,182
2016-10-29,air_465bddfed3353b23,90,air_465bddfed3353b23,2016-10-29,110
2016-03-25,air_622375b4815cf5cb,89,air_622375b4815cf5cb,2016-03-25,105
2016-12-04,air_7514d90009613cd6,88,air_7514d90009613cd6,2016-12-04,207
2017-03-20,air_b23d0f519291247d,87,air_b23d0f519291247d,2017-03-20,19
2016-12-17,air_9b6af3db40da4ae2,87,air_9b6af3db40da4ae2,2016-12-17,67
2016-12-10,air_7514d90009613cd6,86,air_7514d90009613cd6,2016-12-10,146
2017-01-13,air_a38f25e3399d1b25,86,air_a38f25e3399d1b25,2017-01-13,93
2016-01-30,air_622375b4815cf5cb,86,air_622375b4815cf5cb,2016-01-30,90
2016-12-30,air_b23d0f519291247d,85,air_b23d0f519291247d,2016-12-30,113
2017-01-29,air_fcd4492c83f1c6b9,85,air_fcd4492c83f1c6b9,2017-01-29,98
2016-12-29,air_1408dd53f31a8a65,85,air_1408dd53f31a8a65,2016-12-29,95
2017-01-20,air_1408dd53f31a8a65,85,air_1408dd53f31a8a65,2017-01-20,83
2016-12-02,air_56cebcbd6906e04c,84,air_56cebcbd6906e04c,2016-12-02,70
2016-12-29,air_03963426c9312048,83,air_03963426c9312048,2016-12-29,73
2016-07-17,air_b4f32bcc399da2b9,82,air_b4f32bcc399da2b9,2016-07-17,60
2017-03-04,air_b23d0f519291247d,82,air_b23d0f519291247d,2017-03-04,20
2016-03-18,air_622375b4815cf5cb,82,air_622375b4815cf5cb,2016-03-18,79
2017-03-25,air_56cebcbd6906e04c,82,air_56cebcbd6906e04c,2017-03-25,82
2016-12-10,air_1408dd53f31a8a65,82,air_1408dd53f31a8a65,2016-12-10,88
2016-12-22,air_1408dd53f31a8a65,82,air_1408dd53f31a8a65,2016-12-22,94
2016-12-28,air_df554c4527a1cfe6,81,air_df554c4527a1cfe6,2016-12-28,110
2016-12-17,air_1408dd53f31a8a65,81,air_1408dd53f31a8a65,2016-12-17,101
